
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           9.88331251E-03   3.00021423E+02   3.65586442E+13
           9.89913475E-03   3.00021484E+02   3.65888180E+13
           9.91495606E-03   3.00021515E+02   3.66189751E+13
           9.93077829E-03   3.00021545E+02   3.66491027E+13
           9.94659960E-03   3.00021576E+02   3.66792136E+13
           9.96242184E-03   3.00021606E+02   3.67092952E+13
           9.97824315E-03   3.00021637E+02   3.67393600E+13
           9.99406446E-03   3.00021667E+02   3.67693996E+13
           1.00073107E-02   3.00021698E+02   3.30283887E+13
           1.00205559E-02   3.00021729E+02   2.99454012E+13
           1.00338012E-02   3.00021759E+02   2.98794646E+13
           1.00470474E-02   3.00021790E+02   2.98140670E+13
           1.00602927E-02   3.00021820E+02   2.97491937E+13
           1.00735379E-02   3.00021851E+02   2.96848405E+13
           1.00867841E-02   3.00021881E+02   2.96209969E+13
           1.01000294E-02   3.00021912E+02   2.95576566E+13
           1.01132747E-02   3.00021942E+02   2.94948155E+13
           1.01265209E-02   3.00021973E+02   2.94324672E+13
           1.01397661E-02   3.00022003E+02   2.93706012E+13
           1.01530114E-02   3.00022034E+02   2.93092154E+13
           1.01662576E-02   3.00022064E+02   2.92482995E+13
           1.01795029E-02   3.00022064E+02   2.91878512E+13
           1.01927482E-02   3.00022095E+02   2.91278621E+13
           1.02059944E-02   3.00022125E+02   2.90683282E+13
           1.02192396E-02   3.00022156E+02   2.90092409E+13
           1.02324849E-02   3.00022186E+02   2.89505983E+13
           1.02457302E-02   3.00022217E+02   2.88923897E+13
           1.02589764E-02   3.00022247E+02   2.88346132E+13
           1.02722216E-02   3.00022278E+02   2.87772644E+13
           1.02854669E-02   3.00022308E+02   2.87203331E+13
           1.02987131E-02   3.00022339E+02   2.86638190E+13
           1.03119584E-02   3.00022369E+02   2.86077139E+13
           1.03252036E-02   3.00022400E+02   2.85520135E+13
           1.03384499E-02   3.00022430E+02   2.84967116E+13
           1.03516951E-02   3.00022461E+02   2.84418061E+13
           1.03649404E-02   3.00022491E+02   2.83872906E+13
           1.03781866E-02   3.00022522E+02   2.83331590E+13
           1.03914319E-02   3.00022552E+02   2.82794069E+13
           1.04046771E-02   3.00022552E+02   2.82260322E+13
           1.04179233E-02   3.00022583E+02   2.81730267E+13
           1.04311686E-02   3.00022614E+02   2.81203882E+13
           1.04444139E-02   3.00022644E+02   2.80681125E+13
           1.04576601E-02   3.00022675E+02   2.80161933E+13
           1.04709053E-02   3.00022705E+02   2.79646285E+13
           1.04841506E-02   3.00022736E+02   2.79134119E+13
           1.04973968E-02   3.00022766E+02   2.78625413E+13
           1.05106421E-02   3.00022797E+02   2.78120104E+13
           1.05238874E-02   3.00022827E+02   2.77618172E+13
           1.05371326E-02   3.00022858E+02   2.77119553E+13
           1.05503788E-02   3.00022888E+02   2.76624226E+13
           1.05636241E-02   3.00022919E+02   2.76132172E+13
           1.05768694E-02   3.00022949E+02   2.75643305E+13
           1.05901156E-02   3.00022980E+02   2.75157604E+13
           1.06033608E-02   3.00023010E+02   2.74675070E+13
           1.06166061E-02   3.00023041E+02   2.74195620E+13
           1.06298523E-02   3.00023071E+02   2.73719230E+13
           1.06430976E-02   3.00023071E+02   2.73245882E+13
           1.06563428E-02   3.00023102E+02   2.72775533E+13
           1.06706340E-02   3.00023132E+02   2.72271483E+13
           1.06849251E-02   3.00023163E+02   2.71770850E+13
           1.06992163E-02   3.00023193E+02   2.71273574E+13
           1.07135074E-02   3.00023224E+02   2.70779611E+13
           1.07277986E-02   3.00023254E+02   2.70288940E+13
           1.07420897E-02   3.00023285E+02   2.69801499E+13
           1.07563799E-02   3.00023315E+02   2.69317266E+13
           1.07706711E-02   3.00023376E+02   2.68836201E+13
           1.07849622E-02   3.00023407E+02   2.68358239E+13
           1.07992534E-02   3.00023438E+02   2.67883381E+13
           1.08135445E-02   3.00023468E+02   2.67411584E+13
           1.08278356E-02   3.00023499E+02   2.66942787E+13
           1.08421268E-02   3.00023529E+02   2.66476989E+13
           1.08564179E-02   3.00023560E+02   2.66014126E+13
           1.08707091E-02   3.00023590E+02   2.65554158E+13
           1.08849993E-02   3.00023621E+02   2.65097084E+13
           1.08992904E-02   3.00023651E+02   2.64642861E+13
           1.09135816E-02   3.00023682E+02   2.64191449E+13
           1.09290052E-02   3.00023712E+02   2.63707490E+13
           1.09444289E-02   3.00023743E+02   2.63226739E+13
           1.09598525E-02   3.00023773E+02   2.62749133E+13
           1.09752761E-02   3.00023804E+02   2.62274632E+13
           1.09906998E-02   3.00023834E+02   2.61803234E+13
           1.10061234E-02   3.00023865E+02   2.61334877E+13
           1.10215470E-02   3.00023895E+02   2.60869519E+13
           1.10369707E-02   3.00023926E+02   2.60407139E+13
           1.10523943E-02   3.00023987E+02   2.59947695E+13
           1.10678179E-02   3.00024017E+02   2.59491145E+13
           1.10832416E-02   3.00024048E+02   2.59037468E+13
           1.10986661E-02   3.00024078E+02   2.58586622E+13
           1.11140897E-02   3.00024109E+02   2.58138586E+13
           1.11295134E-02   3.00024139E+02   2.57693298E+13
           1.11449370E-02   3.00024170E+02   2.57250778E+13
           1.11603606E-02   3.00024200E+02   2.56810942E+13
           1.11757843E-02   3.00024231E+02   2.56373770E+13
           1.11912079E-02   3.00024261E+02   2.55939261E+13
           1.12078553E-02   3.00024323E+02   2.55473316E+13
           1.12245027E-02   3.00024353E+02   2.55010349E+13
           1.12411501E-02   3.00024384E+02   2.54550380E+13
           1.12577975E-02   3.00024414E+02   2.54093327E+13
           1.12744449E-02   3.00024445E+02   2.53639189E+13
